chip_peak_id	nearby_BCOR_in_adult	nearby_BCOR_in_P0
CRX.4266	0	0
CRX.4267	0	0
CRX.4268	0	0
CRX.4272	0	0
CRX.4273	0	0
CRX.4278	0	0
CRX.4281	1	0
CRX.4285	1	1
CRX.4290	0	0
CRX.4291	0	0
CRX.4294	0	0
CRX.4295	0	0
CRX.4299	0	0
CRX.4306	2	2
CRX.4307	0	0
CRX.4310	1	0
CRX.4312	0	0
CRX.4314	0	0
CRX.4317	0	0
CRX.4319	0	0
CRX.4324	0	0
CRX.4330	0	0
CRX.4333	0	0
CRX.4335	0	2
CRX.4337	0	0
CRX.4339	2	1
CRX.4340	0	0
CRX.4344	0	0
CRX.4345	0	0
CRX.4350	1	0
CRX.4354	2	0
CRX.4360	0	0
CRX.4361	0	0
CRX.4365	0	0
CRX.4368	1	0
CRX.4369	0	0
CRX.4371	0	0
CRX.4373	0	0
CRX.4375	0	0
CRX.4379	0	0
CRX.4383	0	0
CRX.4387	0	0
CRX.4391	0	0
CRX.4394	0	0
CRX.4395	0	0
CRX.4397	1	0
CRX.4399	0	0
CRX.4409	0	0
CRX.4415	2	2
CRX.4417	2	2
CRX.4418	0	1
CRX.4430	0	2
CRX.4431	0	0
CRX.4432	0	2
CRX.4439	0	0
CRX.4440	0	2
CRX.4441	0	0
CRX.4442	1	0
CRX.4443	1	0
CRX.4444	1	0
CRX.4446	0	0
CRX.4448	0	0
CRX.4449	0	0
CRX.4451	0	0
CRX.4452	0	0
CRX.4455	0	0
CRX.4457	2	2
CRX.4458	0	0
CRX.4459	0	1
CRX.4463	0	0
CRX.4470	0	0
CRX.4475	0	0
CRX.4476	0	0
CRX.4477	0	0
CRX.4481	1	0
CRX.4496	2	2
CRX.4504	0	0
CRX.4514	0	0
CRX.4515	0	0
CRX.4518	0	1
CRX.4524	0	0
CRX.4526	0	0
CRX.4529	0	0
CRX.4530	0	0
CRX.4531	0	0
CRX.4532	0	0
CRX.4539	1	0
CRX.4541	0	2
CRX.4549	0	0
CRX.4550	2	1
CRX.4564	0	0
CRX.4566	0	0
